LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
l_4048,N_6032,N_6053,0.07195,0.13532,0.0927913,114.0385621
l_4051,N_6037,N_6038,0.000016,0.000041,0.00010448,136.1047924
l_4052,N_6037,N_6050,9.79E-03,0.05216,0.15101278,137.9631273
l_4053,N_6037,N_6110,0.02754,0.153,0.44768374,139.0250329
l_4054,N_6039,N_6040,0.00003,0.00019,0.00010448,131.8567372
l_4055,N_6039,N_6041,0.009002,0.049514,0.03583664,165.3333084
l_4056,N_6039,N_6140,0.018901,0.103962,0.07524519,121.0578432
l_4057,N_6041,N_6042,0.0186488,0.102506,0.07419386,121.0578432
l_4058,N_6048,N_6051,0.030663,0.10483,0.07062195,120.2479262
l_4059,N_6048,N_6057,0.02662,0.171532,0.11991039,137.5261565
l_4060,N_6050,N_6060,0.02788,0.09942,0.25600212,138.4940801
l_4061,N_6051,N_60446,0.022469,0.136224,0.10214879,115.1184515
l_4062,N_6053,N_60446,0.030827,0.186147,0.13955916,114.0385621
l_4066,N_6056,N_6057,0.031345,0.201989,0.14449584,137.5261565
l_4067,N_6056,N_6058,0.002075,0.013379,0.04561205,137.5261565
l_4068,N_6056,N_6061,0.06989,0.06671,0.04098228,108.0991705
l_4069,N_6058,N_6071,0.13457,0.19801,0.11833013,110.2589493
l_4070,N_6058,N_6079,0.001274,0.008429,0.00609249,124.027539
l_4071,N_6060,N_6097,0.00637,0.03586,0.09742107,153.6262357
l_4072,N_6061,N_6079,0.00432,0.01194,0.00829963,117.5482027
l_4073,N_6063,N_6064,0.00413,0.02733,0.01975978,120.2479262
l_4074,N_6063,N_6079,0.00522,0.03459,0.0250099,171.5426724
l_4075,N_6066,N_6098,0.00515,0.02933,0.07860814,155.4845706
l_4076,N_6070,N_6071,0.09105,0.07006,0.0432939,107.2892534
l_4077,N_6071,N_6072,0.05523,0.08125,0.04855055,110.2589493
l_4078,N_6072,N_6075,0.09514,0.13998,0.0836493,110.2589493
l_4080,N_6076,N_6100,0.00186,0.01701,0.35541484,362.767142
l_4082,N_6076,N_140953,0,0.0001,0.00178922,224.3852502
l_4083,N_6076,N_140954,0,0.0001,0.00178922,224.3852502
l_4084,N_6080,N_6084,0.49407,0.26505,0.14628506,105.399447
l_4085,N_6082,N_6084,0.04555,0.23871,0.17045259,110.2589493
l_4086,N_6082,N_60381,0.1119,0.26328,0.18296407,116.1983409
l_4087,N_6084,N_6085,0.00329,0.01231,0.00893304,110.2589493
l_4088,N_6085,N_6086,0.02778,0.16143,0.11833013,110.2589493
l_4089,N_6086,N_6107,0.03361,0.19146,0.13966364,110.2589493
l_4090,N_6088,N_6320,0.00271,0.02696,0.0807108,193.9786507
l_4091,N_6088,N_33798,0.01506,0.072861,0.21018111,195.3060327
l_4093,N_6100,N_6101,0.00018,0.00159,0.03468083,402.6443668
l_4094,N_6100,N_6102,0,0.0001,0,340.5837854
l_4095,N_6100,N_6111,0.00013,0.00118,0.02521886,364.8798428
l_4096,N_6101,N_6111,0,0.0001,0,814.6209915
l_4097,N_6101,N_6111,0,0.0001,0,814.6209915
l_4098,N_6101,N_60505,0.00125,0.02001,0.43801281,871.9279963
l_4099,N_6101,N_60505,0.00124,0.0201,0.43801281,871.9279963
l_4104,N_6106,N_6107,0.103326,0.150398,0.09699662,110.2589493
l_4105,N_6107,N_6108,0.00304,0.01743,0.01176706,124.2975114
l_4108,N_6107,N_60391,0.00529,0.03433,0.02480094,122.9476496
l_4110,N_6111,N_60504,0.0019,0.03158,0.68844484,871.9279963
l_4111,N_6111,N_61001,0.00065,0.01092,0.23781607,871.9279963
l_4112,N_6111,N_141351,0.00013,0.00119,0.02521886,289.0867073
l_4117,N_6117,N_6320,0.0169,0.05982,0.15553154,138.4940801
l_4125,N_6131,N_6133,0.00536,0.02948,0.02133351,152.9145804
l_4126,N_6131,N_6140,0.07689,0.42349,0.30665533,136.4462671
l_4127,N_6132,N_6133,0.0018,0.00988,0.00714382,122.0297437
l_4128,N_6132,N_60381,0.10303,0.24242,0.16846094,116.1983409
l_4129,N_6135,N_6320,0.05423,0.19384,0.49896383,138.4940801
l_4130,N_6140,N_6141,0.05141,0.12428,0.08407375,116.1983409
l_4131,N_6140,N_140082,0.05763,0.29371,0.21249273,129.1570137
l_4132,N_6141,N_6142,0.07479,0.18082,0.12232649,116.1983409
l_4133,N_6142,N_6143,0.08705,0.21048,0.14239971,116.1983409
l_4134,N_6143,N_6148,0.04177,0.10098,0.06831033,116.1983409
l_4138,N_6150,N_140182,0.0105,0.1026,0.28269023,177.6783988
l_505,N_720,N_6150,0.01161,0.066739,0.17938563,155.4845706
l_525,N_733,N_6131,0.01709,0.02281,0.01502553,110.2589493
l_526,N_734,N_60381,0,0.0001,0,116.1983409
l_527,N_736,N_6048,0.099571,0.144658,0.08754118,110.2589493
l_528,N_736,N_6082,0.17384,0.25568,0.152802,110.2589493
l_531,N_740,N_6028,0.00225,0.01271,0.00872408,131.0468201
l_532,N_740,N_6031,0.00155,0.00873,0.00598801,131.0468201
l_535,N_745,N_798,0.04173,0.14277,0.0903752,116.4683133
l_538,N_749,N_6142,0,0.0001,0,2799.453515
l_542,N_751,N_6143,0.05642,0.04471,0.02732152,102.6997235
l_551,N_761,N_6085,0,0.0001,0,2799.453515
l_554,N_764,N_60391,0.00001,0.00009,0.00010448,134.2864883
l_563,N_773,N_1474,0.0018,0.0059,0.01555446,132.1226461
l_567,N_777,N_6107,0,0.0001,0,2799.453515
l_569,N_779,N_1534,0.00001,0.0001,0,153.1845527
l_570,N_779,N_33728,0.01051,0.07012,0.04781266,135.9063224
l_574,N_782,N_783,0.17437,0.25427,0.15490466,109.1790599
l_575,N_782,N_784,0.02079,0.1387,0.09458052,135.9063224
l_576,N_782,N_33728,0.00543,0.03622,0.02469646,135.9063224
l_578,N_786,N_1533,0,0.0001,0,2799.453515
l_582,N_789,N_1532,0,0.0001,0,2799.453515
l_583,N_790,N_6088,0,0.0001,0,2754.498665
l_6319,N_11473,N_11522,6.84E-02,0.10154,0.0557009,110.798894
l_6323,N_11527,N_11528,0,0.00001,0.00105133,203.5358016
l_6472,N_23900,N_23906,0.00105,0.02197,0.48740573,557.3996885
l_6473,N_23900,N_23906,0.00105,0.02197,0.48740573,557.3996885
l_6474,N_23900,N_23914,0.0015,0.03145,0.69737788,557.3996885
l_6475,N_23900,N_23914,0.00151,0.03142,0.69737788,557.3996885
l_6476,N_23900,N_79000,0.00119,0.0191,0.43623012,573.509031
l_6477,N_23900,N_79005,0.00061,0.00977,0.22132129,573.509031
l_6478,N_23900,N_140653,0.000504,0.00471,0.10613862,411.0951693
l_6479,N_23900,N_141152,0.00059999,0.0044,0.09815243,336.3583841
l_6483,N_23906,N_23908,0.00042,0.00968,0.21858522,557.3996885
l_6484,N_23906,N_23910,0.00105,0.02207,0.48950839,557.3996885
l_6485,N_23906,N_140442,0.00219,0.01852,0.41090025,370.7954045
l_6486,N_23908,N_23910,0.00053,0.0121,0.27323479,557.3996885
l_6487,N_23908,N_142663,0.00017,0.00242,0.05611882,180.5467119
l_6488,N_23910,N_23912,0.00059,0.01243,0.27880488,557.3996885
l_6489,N_23910,N_23912,0.00059,0.01251,0.28058757,557.3996885
l_6490,N_23910,N_140753,0.000017,0.000148,0.00325847,370.7954045
l_6491,N_23910,N_141712,0.00069083,0.0071165,0.14712743,337.678822
l_6492,N_23910,N_141765,0.001608,0.012796,0.28374156,350.2757995
l_6493,N_23912,N_23913,0.00033,0.00689,0.15511362,557.3996885
l_6494,N_23912,N_23920,0.00289,0.02798,0.60952326,200
l_6495,N_23913,N_23914,0.00071,0.01493,0.34112067,557.3996885
l_6496,N_23913,N_144311,0,0.0001,0,2740.611713
l_6497,N_23914,N_23922,0.00072,0.01516,0.33628847,557.3996885
l_6498,N_23914,N_23922,0.00073,0.01514,0.33628847,557.3996885
l_6499,N_23914,N_79001,0.001,0.01605,0.36550369,573.509031
l_6500,N_23914,N_79003,0.001,0.016,0.36550369,573.509031
l_6501,N_23914,N_140853,0.0008,0.0072,0.16289085,370.7954045
