LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
T_2106,N_142612,N_142611,0.0024213,0.13634,,
T_2107,N_142663,N_142661,0.0012248,0.067365,,
T_2108,N_142711,N_142713,0.0045279,0.1544,,
T_2109,N_142712,N_142714,0.015624,0.37028,,
T_2110,N_142715,N_142716,0.01548,0.36688,,
T_2111,N_142815,N_142811,0.0025915,0.10768,,
T_2112,N_142815,N_142812,0.0025915,0.10768,,
T_2113,N_142915,N_142912,0.00104,0.06476,,
T_2114,N_142962,N_142961,0.0014808,0.0834,,
T_2115,N_143015,N_143011,0.0018127,0.10343,,
T_2116,N_143015,N_143012,0.0018127,0.10343,,
T_2131,N_143378,N_143375,0.0031568,0.11996,,
T_2132,N_143378,N_143376,0.0008875,0.071,,
T_2136,N_143525,N_143521,0.0010643,0.060888,,
T_2137,N_143525,N_143522,0.0021717,0.098876,,
T_2142,N_143673,N_143675,0.019327,0.35948,,
T_2143,N_143674,N_143676,0.021116,0.39277,,
T_2144,N_143692,N_143691,0.00159275,0.0668955,,
T_2150,N_143901,N_143902,0.00159275,0.0668955,,
SWITCH_27,N_631,N_1470,0.0000001,0.0001,,
SWITCH_42,N_770,N_1478,0.0000001,0.0001,,
SWITCH_65,N_1426,N_1427,0.0000001,0.0001,,
SWITCH_66,N_1426,N_1427,0.0000001,0.0001,,
SWITCH_69,N_1473,N_11522,0.0000001,0.0001,,
SWITCH_70,N_1499,N_1500,0.0000001,0.0001,,
SWITCH_71,N_1517,N_11517,0.0000001,0.0001,,
SWITCH_72,N_1518,N_1520,0.0000001,0.0001,,
SWITCH_73,N_1538,N_1539,0.0000001,0.0001,,
SWITCH_391,N_6055,N_6058,0.0000001,0.0001,,
SWITCH_392,N_6097,N_6098,0.0000001,0.0001,,
SWITCH_393,N_6110,N_6117,0.0000001,0.0001,,
SWITCH_499,N_17006,N_17007,0.0000001,0.0001,,
SWITCH_500,N_20101,N_23922,0.0000001,0.0001,,
SWITCH_596,N_60501,N_60504,0.0000001,0.0001,,
SWITCH_603,N_60702,N_60703,0.0000001,0.0001,,
SWITCH_604,N_60702,N_60703,0.0000001,0.0001,,
SWITCH_618,N_79000,N_79497,0.0000001,0.0001,,
SWITCH_619,N_79000,N_79498,0.0000001,0.0001,,
SWITCH_620,N_79001,N_79002,0.0000001,0.0001,,
SWITCH_621,N_79003,N_79004,0.0000001,0.0001,,
SWITCH_884,N_140081,N_140083,0.0000001,0.0001,,
SWITCH_885,N_140181,N_140183,0.0000001,0.0001,,
SWITCH_888,N_140381,N_140382,0.0000001,0.0001,,
SWITCH_889,N_140381,N_140384,0.0000001,0.0001,,
SWITCH_890,N_140401,N_140403,0.0000001,0.0001,,
SWITCH_891,N_140441,N_140443,0.0000001,0.0001,,
SWITCH_892,N_140471,N_140472,0.0000001,0.0001,,
SWITCH_893,N_140501,N_140502,0.0000001,0.0001,,
SWITCH_894,N_140501,N_140504,0.0000001,0.0001,,
SWITCH_895,N_140601,N_140602,0.0000001,0.0001,,
SWITCH_896,N_140601,N_140604,0.0000001,0.0001,,
SWITCH_897,N_140602,N_140605,0.0000001,0.0001,,
SWITCH_898,N_140651,N_140652,0.0000001,0.0001,,
SWITCH_899,N_140654,N_140655,0.0000001,0.0001,,
SWITCH_901,N_140751,N_140752,0.0000001,0.0001,,
SWITCH_902,N_140752,N_140754,0.0000001,0.0001,,
SWITCH_903,N_140801,N_140802,0.0000001,0.0001,,
SWITCH_904,N_140801,N_140804,0.0000001,0.0001,,
SWITCH_905,N_140802,N_140805,0.0000001,0.0001,,
SWITCH_906,N_140851,N_140852,0.0000001,0.0001,,
SWITCH_907,N_140851,N_140854,0.0000001,0.0001,,
SWITCH_908,N_140852,N_140857,0.0000001,0.0001,,
SWITCH_909,N_140854,N_140855,0.0000001,0.0001,,
SWITCH_910,N_140854,N_140856,0.0000001,0.0001,,
SWITCH_911,N_140856,N_140857,0.0000001,0.0001,,
SWITCH_912,N_140857,N_140858,0.0000001,0.0001,,
SWITCH_913,N_140901,N_140902,0.0000001,0.0001,,
SWITCH_914,N_140951,N_140956,0.0000001,0.0001,,
SWITCH_915,N_140952,N_140955,0.0000001,0.0001,,
SWITCH_918,N_141051,N_141052,0.0000001,0.0001,,
SWITCH_919,N_141051,N_141054,0.0000001,0.0001,,
SWITCH_920,N_141052,N_141055,0.0000001,0.0001,,
SWITCH_921,N_141151,N_141153,0.0000001,0.0001,,
SWITCH_922,N_141151,N_141154,0.0000001,0.0001,,
SWITCH_923,N_141202,N_141203,0.0000001,0.0001,,
SWITCH_924,N_141202,N_141204,0.0000001,0.0001,,
SWITCH_925,N_141202,N_141205,0.0000001,0.0001,,
SWITCH_926,N_141205,N_141206,0.0000001,0.0001,,
SWITCH_927,N_141205,N_141207,0.0000001,0.0001,,
SWITCH_928,N_141302,N_141303,0.0000001,0.0001,,
SWITCH_929,N_141352,N_141353,0.0000001,0.0001,,
SWITCH_930,N_141353,N_141354,0.0000001,0.0001,,
SWITCH_931,N_141401,N_141451,0.0000001,0.0001,,
SWITCH_932,N_141501,N_141506,0.0000001,0.0001,,
SWITCH_933,N_141502,N_141506,0.0000001,0.0001,,
SWITCH_934,N_141504,N_141506,0.0000001,0.0001,,
SWITCH_935,N_141505,N_141506,0.0000001,0.0001,,
SWITCH_937,N_141711,N_141713,0.0000001,0.0001,,
SWITCH_938,N_141711,N_141714,0.0000001,0.0001,,
SWITCH_939,N_141761,N_141762,0.0000001,0.0001,,
SWITCH_940,N_141761,N_141763,0.0000001,0.0001,,
SWITCH_941,N_141762,N_141764,0.0000001,0.0001,,
SWITCH_944,N_141861,N_141862,0.0000001,0.0001,,
SWITCH_945,N_141861,N_141863,0.0000001,0.0001,,
SWITCH_946,N_141862,N_141866,0.0000001,0.0001,,
SWITCH_947,N_141863,N_141864,0.0000001,0.0001,,
SWITCH_948,N_141863,N_141865,0.0000001,0.0001,,
SWITCH_949,N_141866,N_141868,0.0000001,0.0001,,
SWITCH_950,N_141866,N_141869,0.0000001,0.0001,,
SWITCH_951,N_141866,N_141870,0.0000001,0.0001,,
SWITCH_956,N_142511,N_142512,0.0000001,0.0001,,
SWITCH_957,N_142511,N_142513,0.0000001,0.0001,,
SWITCH_958,N_142561,N_142562,0.0000001,0.0001,,
SWITCH_959,N_142661,N_142662,0.0000001,0.0001,,
SWITCH_960,N_142811,N_142812,0.0000001,0.0001,,
SWITCH_961,N_142811,N_142813,0.0000001,0.0001,,
SWITCH_962,N_142812,N_142814,0.0000001,0.0001,,
SWITCH_963,N_142911,N_142912,0.0000001,0.0001,,
SWITCH_964,N_143011,N_143012,0.0000001,0.0001,,
SWITCH_965,N_143011,N_143013,0.0000001,0.0001,,
SWITCH_966,N_143012,N_143014,0.0000001,0.0001,,
SWITCH_987,N_143371,N_143375,0.0000001,0.0001,,
SWITCH_988,N_143372,N_143375,0.0000001,0.0001,,
SWITCH_989,N_143373,N_143376,0.0000001,0.0001,,
SWITCH_990,N_143374,N_143376,0.0000001,0.0001,,
SWITCH_991,N_143375,N_143376,0.0000001,0.0001,,
SWITCH_995,N_143521,N_143522,0.0000001,0.0001,,
SWITCH_996,N_143521,N_143523,0.0000001,0.0001,,
SWITCH_997,N_143522,N_143524,0.0000001,0.0001,,
SWITCH_1005,N_143671,N_143675,0.0000001,0.0001,,
SWITCH_1006,N_143672,N_143676,0.0000001,0.0001,,
