,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
23914,94.82960432363214,4.453681867744308e-10,4.362732397567015e-10,3.0524915928253904e-10,4.454250301932916e-10,4.376374818093609e-10,4.339426595834084e-10,4.3365844248910435e-10,4.319531399232801e-10,4.2587089410517365e-10,4.2581405068631284e-10,3.950617610826157e-10,4.092726157978177e-10,4.268372322258074e-10,4.278035703464411e-10,4.262687980371993e-10,4.176854417892173e-10,8.230927051045e-11,4.4792614062316716e-11,4.4792614062316716e-11,4.4849457481177524e-11,4.4849457481177524e-11,7.980816008057445e-11,4.192770575173199e-10,4.2513192965998314e-10,4.25472990173148e-10,4.254161467542872e-10,4.25472990173148e-10,4.071694092999678e-10,8.009237717487849e-11,4.4565240386873484e-11,4.4224179873708636e-11,4.416733645484783e-11,4.411049303598702e-11,4.411049303598702e-11,4.4281023292569444e-11,4.445155354915187e-11,4.462208380573429e-11,4.4792614062316716e-11,4.4849457481177524e-11,4.4792614062316716e-11,4.439471013029106e-11,4.388311936054379e-11,4.388311936054379e-11,4.388311936054379e-11,4.405364961712621e-11,4.445155354915187e-11,4.4849457481177524e-11,4.501998773775995e-11,8.037659426918253e-11,7.855760486563668e-11,4.501998773775995e-11,4.4792614062316716e-11,4.4281023292569444e-11,4.376943252282217e-11,4.3712589103961363e-11,4.376943252282217e-11,4.411049303598702e-11,4.433786671143025e-11,4.46789272245951e-11,4.501998773775995e-11,7.94102561485488e-11,7.969447324285284e-11,3.836930773104541e-10,7.958078640513122e-11,4.496314431889914e-11,4.4508396968012676e-11,4.4508396968012676e-11,4.462208380573429e-11,4.4849457481177524e-11,7.992184691829607e-11,4.283720045350492e-10,4.2660985855036415e-10,4.289972821425181e-10,4.2939518607454374e-10,4.2865622162935324e-10,4.2524561649770476e-10,3.9398173612426035e-10,4.496314431889914e-11,4.46789272245951e-11,4.46789272245951e-11,4.462208380573429e-11,4.473577064345591e-11,4.4849457481177524e-11,7.884182195994072e-11,7.975131666171364e-11,3.836362338915933e-10,4.129105946049094e-10,3.969944373238832e-10,8.253664418589324e-11,4.4849457481177524e-11,4.496314431889914e-11,4.1950443119276315e-11,7.94102561485488e-11,3.9671022022957914e-10,4.2507508624112234e-10,4.29622559749987e-10,4.3212367017986253e-10,4.328057912061922e-10,4.3291947804391384e-10,4.319531399232801e-10,4.277467269275803e-10,4.277467269275803e-10,3.97335497837048e-10,7.975131666171364e-11,7.969447324285284e-11,7.94102561485488e-11,7.94102561485488e-11,4.276898835087195e-10,4.2740566641441546e-10,4.3240788727416657e-10,4.334879122325219e-10,4.3354475565138273e-10,4.3002046368201263e-10,4.22517132392386e-10,3.965965333918575e-10,3.9540282159578055e-10,4.04440925194649e-10,4.2865622162935324e-10,4.2513192965998314e-10,4.2723513615783304e-10,4.278035703464411e-10,4.2723513615783304e-10,4.256435204297304e-10,4.2598458094289526e-10,4.076241566508543e-10,7.997869033715688e-11,4.501998773775995e-11,4.496314431889914e-11,8.247980076703243e-11,3.8323832995956764e-10,4.256435204297304e-10,4.2876990846707486e-10,4.328057912061922e-10,4.3360159907024354e-10,4.339995030022692e-10,4.3382897274568677e-10,4.3166892282897606e-10,4.2592773752403446e-10,3.793161340581719e-10,7.958078640513122e-11,1.7138290786533616e-10,4.2501824282226153e-10,4.2507508624112234e-10,4.262687980371993e-10,4.257003638485912e-10,4.254161467542872e-10,4.257003638485912e-10,7.963762982399203e-11,4.46789272245951e-11,4.382627594168298e-11,4.3712589103961363e-11,4.3939962779404595e-11,4.4281023292569444e-11,4.473577064345591e-11,8.287770469905809e-11,3.8551206671399996e-10,4.2808778744074516e-10,4.2501824282226153e-10,4.2604142436175607e-10,4.2524561649770476e-10,7.810285751475021e-11,4.496314431889914e-11,4.496314431889914e-11,7.94102561485488e-11,7.929656931082718e-11,4.2513192965998314e-10,4.320668267610017e-10
23912,-94.82960432341054,-1.0987832865794189e-10,-1.035402874549618e-10,-4.0046188587439246e-11,-1.0913936421275139e-10,-1.0581402420939412e-10,-1.0410872164356988e-10,-1.0447820386616513e-10,-1.0470557754160836e-10,-1.0362555258325301e-10,-1.0714984455262311e-10,-9.43032318900805e-11,-1.0186340659856796e-10,-1.0714984455262311e-10,-1.0595613275654614e-10,-1.049329512170516e-10,-1.0555822882452048e-10,5.778133527201135e-11,-6.994582690822426e-11,-6.988898348936345e-11,-6.969003152335063e-11,-7.042899596854113e-11,5.377387424232438e-11,-1.0601297617540695e-10,-1.0396661309641786e-10,-1.035687091643922e-10,-1.0345502232667059e-10,-1.042508301907219e-10,-1.0061285138363019e-10,5.738343133998569e-11,-7.000267032708507e-11,-7.014477887423709e-11,-7.003109203651547e-11,-7.003109203651547e-11,-7.003109203651547e-11,-7.02016222930979e-11,-7.02016222930979e-11,-7.000267032708507e-11,-6.983214007050265e-11,-6.980371836107224e-11,-6.988898348936345e-11,-7.014477887423709e-11,-6.974687494221143e-11,-6.980371836107224e-11,-6.980371836107224e-11,-6.997424861765467e-11,-7.02584657119587e-11,-6.980371836107224e-11,-7.014477887423709e-11,4.5929482439532876e-11,4.6782133722444996e-11,-7.008793545537628e-11,-6.994582690822426e-11,-7.014477887423709e-11,-6.94626578479074e-11,-6.781419870094396e-11,-6.934897101018578e-11,-7.008793545537628e-11,-7.014477887423709e-11,-6.997424861765467e-11,-7.02016222930979e-11,5.303490979713388e-11,5.809397407574579e-11,-9.248424248653464e-11,5.417177817435004e-11,-6.977529665164184e-11,-7.02300440025283e-11,-7.014477887423709e-11,-7.005951374594588e-11,-6.986056177993305e-11,5.3375970310298726e-11,-1.0646772352629341e-10,-1.0373923942097463e-10,-1.0447820386616513e-10,-1.0447820386616513e-10,-1.0436451702844352e-10,-1.035687091643922e-10,-9.794121069717221e-11,-6.994582690822426e-11,-6.997424861765467e-11,-7.005951374594588e-11,-7.014477887423709e-11,-6.994582690822426e-11,-6.983214007050265e-11,4.072830961376894e-11,5.32054400537163e-11,-9.242739906767383e-11,-1.0379608283983544e-10,-9.640643838793039e-11,5.4797055781818926e-11,-6.971845323278103e-11,-6.980371836107224e-11,-6.500044946733397e-11,5.303490979713388e-11,-9.458744898438454e-11,-1.035687091643922e-10,-1.0453504728502594e-10,-1.0464873412274756e-10,-1.0464873412274756e-10,-1.0459189070388675e-10,-1.0476242096046917e-10,-1.0413714335300028e-10,-1.0584244591882452e-10,-9.71454028331209e-11,5.3944404498906806e-11,5.32054400537163e-11,5.3091753215994686e-11,5.678657544194721e-11,-1.0743406164692715e-10,-1.0390976967755705e-10,-1.0476242096046917e-10,-1.0436451702844352e-10,-1.042224084812915e-10,-1.0453504728502594e-10,-1.0686562745831907e-10,-9.464429240324534e-11,-9.458744898438454e-11,-9.890754881780595e-11,-1.0686562745831907e-10,-1.035687091643922e-10,-1.0402345651527867e-10,-1.0408029993413948e-10,-1.0390976967755705e-10,-1.0362555258325301e-10,-1.0470557754160836e-10,-1.0084022505907342e-10,5.354650056688115e-11,-7.051426109683234e-11,-6.991740519879386e-11,5.476863407238852e-11,-9.208633855450898e-11,-1.0442136044730432e-10,-1.0442136044730432e-10,-1.0470557754160836e-10,-1.0416556506243069e-10,-1.0396661309641786e-10,-1.0399503480584826e-10,-1.0476242096046917e-10,-1.0743406164692715e-10,-8.918732419260778e-11,5.7980287238024175e-11,2.0236257114447653e-11,-1.0732037480920553e-10,-1.0368239600211382e-10,-1.0373923942097463e-10,-1.0362555258325301e-10,-1.0419398677186109e-10,-1.0720668797148392e-10,5.4001247917767614e-11,-6.997424861765467e-11,-6.974687494221143e-11,-6.872369340271689e-11,-6.986056177993305e-11,-7.02016222930979e-11,-6.991740519879386e-11,5.5507598517579027e-11,-9.384848453919403e-11,-1.0624034985085018e-10,-1.035687091643922e-10,-1.0362555258325301e-10,-1.0408029993413948e-10,5.189804141991772e-11,-7.008793545537628e-11,-6.991740519879386e-11,4.595790414896328e-11,5.559286364587024e-11,-1.0396661309641786e-10,-1.0481926437932998e-10
141609,-1.3697485207408638e-10,-2.3285728900646063e-10,-2.283169209249536e-10,-1.472975075245131e-10,-2.33327135390482e-10,-2.2917490127838391e-10,-2.27018404075352e-10,-2.261941745018703e-10,-2.2393464860215317e-10,-2.176676616727491e-10,-2.2438939595303964e-10,-2.007993771258043e-10,-2.1296386876201723e-10,-2.2470203475677408e-10,-2.2184565295901848e-10,-2.1893242774240207e-10,-2.1944401851214934e-10,3.0667024475405924e-11,1.5205614545266144e-11,1.517719283583574e-11,1.517719283583574e-11,1.517719283583574e-11,3.0468072509393096e-11,-2.205240434705047e-10,-2.17099227484141e-10,-2.1728396859543864e-10,-2.1717028175771702e-10,-2.176818725274643e-10,-2.11258566196193e-10,2.972910806420259e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5234036254696548e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.517719283583574e-11,1.517719283583574e-11,1.517719283583574e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5234036254696548e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5262457964126952e-11,2.9814373192493804e-11,2.930278242274653e-11,1.5262457964126952e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5234036254696548e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5234036254696548e-11,2.987121661135461e-11,3.0894398150849156e-11,-1.90084392670542e-10,3.043965079996269e-11,1.5234036254696548e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,3.029754225281067e-11,-2.22655671677785e-10,-2.183924152632244e-10,-2.2092194740253035e-10,-2.212772187704104e-10,-2.205524651799351e-10,-2.1714186004828662e-10,-1.9895196601282805e-10,1.5234036254696548e-11,1.517719283583574e-11,1.517719283583574e-11,1.517719283583574e-11,1.517719283583574e-11,1.5205614545266144e-11,2.9388047551037744e-11,3.0098590286797844e-11,-1.900559709611116e-10,-2.156070877390448e-10,-2.0176571524643805e-10,3.0951241569709964e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.4011902749189176e-11,2.987121661135461e-11,-2.0233414943504613e-10,-2.169997515011346e-10,-2.2160406842886005e-10,-2.2426149826060282e-10,-2.2510704411615734e-10,-2.2532020693688537e-10,-2.241051788587356e-10,-2.1968560304230778e-10,-2.2116353193268878e-10,-2.0190782379359007e-10,3.043965079996269e-11,2.9956481739645824e-11,2.987121661135461e-11,3.055333763768431e-11,-2.248583541586413e-10,-2.192166448367061e-10,-2.2460255877376767e-10,-2.2610890937357908e-10,-2.262723342028039e-10,-2.219451289420249e-10,-2.2257040654949378e-10,-2.0239099285390694e-10,-2.0096990738238674e-10,-2.0887114260403905e-10,-2.2365043150784913e-10,-2.170139623558498e-10,-2.191455905631301e-10,-2.1961454876873177e-10,-2.190745362895541e-10,-2.1749713141616667e-10,-2.183924152632244e-10,-2.1148593987163622e-10,3.0382807381101884e-11,1.5262457964126952e-11,1.5234036254696548e-11,3.092281986027956e-11,-1.8957280190079473e-10,-2.1785240278404672e-10,-2.206235194535111e-10,-2.2509993868879974e-10,-2.2659207843389595e-10,-2.2713209091307363e-10,-2.269970877932792e-10,-2.2369306407199474e-10,-2.2447466108133085e-10,-1.8621904018800706e-10,3.0752289603697136e-11,-3.0524915928253904e-11,-2.2399149202101398e-10,-2.169855406464194e-10,-2.1813661987835076e-10,-2.1759660739917308e-10,-2.1751134227088187e-10,-2.2430413082474843e-10,3.043965079996269e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5205614545266144e-11,1.5234036254696548e-11,1.5205614545266144e-11,1.517719283583574e-11,3.1036506698001176e-11,-1.9164758668921422e-10,-2.2222934603632893e-10,-2.1692869722755859e-10,-2.1782398107461631e-10,-2.1726975774072343e-10,3.041122909053229e-11,1.5262457964126952e-11,1.5234036254696548e-11,2.9615421226480976e-11,3.041122909053229e-11,-2.1717028175771702e-10,-2.241193897134508e-10
142562,-7.068158649449438e-11,-8.711084570929091e-11,-8.878499462242114e-11,-1.0109016937970516e-10,-8.74786280047932e-11,-8.717515039451155e-11,-8.732451650795768e-11,-8.733831465370409e-11,-8.737828305180362e-11,-8.829571642696718e-11,-7.849388188912827e-11,-8.441073943736009e-11,-7.848559821181469e-11,-7.919607640197e-11,-8.400966598651246e-11,-8.640699394189917e-11,-7.675761341389554e-11,-1.3865530945622595e-10,8.381562111026142e-11,8.380141025554622e-11,8.3645090853679e-11,8.468248324788874e-11,-1.3105960761095048e-10,-7.68063755255881e-11,-8.789161923263188e-11,-8.833194595108016e-11,-8.833608748759169e-11,-8.734402641610945e-11,-7.93322840392875e-11,-1.3673684406967368e-10,8.43556335894391e-11,8.452616384602152e-11,8.451195299130632e-11,8.449774213659111e-11,8.451195299130632e-11,8.454037470073672e-11,8.448353128187591e-11,8.425615760643268e-11,8.385825367440702e-11,8.36877234178246e-11,8.385825367440702e-11,8.452616384602152e-11,8.427036846114788e-11,8.422773589700228e-11,8.427036846114788e-11,8.448353128187591e-11,8.448353128187591e-11,8.374456683668541e-11,8.404299478570465e-11,-1.1874590200022794e-10,-1.19172227641684e-10,8.391509709326783e-11,8.385825367440702e-11,8.451195299130632e-11,8.380141025554622e-11,8.148504093696829e-11,8.375877769140061e-11,8.448353128187591e-11,8.452616384602152e-11,8.408562734985026e-11,8.419931418757187e-11,-1.2989431752430391e-10,-1.3735945714188347e-10,-8.479401121788703e-11,-1.312834285727149e-10,8.357403658010298e-11,8.446932042716071e-11,8.44124770082999e-11,8.425615760643268e-11,8.361666914424859e-11,-1.304343300034816e-10,-8.339620799472948e-11,-8.810868041758446e-11,-8.766670129646772e-11,-8.761434098507026e-11,-8.772603130383315e-11,-8.825917768933153e-11,-8.128063297914398e-11,8.374456683668541e-11,8.409983820456546e-11,8.414247076871106e-11,8.419931418757187e-11,8.404299478570465e-11,8.3645090853679e-11,-1.0965095498249866e-10,-1.3014300748181995e-10,-8.48404443315114e-11,-7.780526206448194e-11,-8.336627497715708e-11,-1.3443468560581096e-10,8.36593017083942e-11,8.357403658010298e-11,7.747757990728132e-11,-1.2991563380637672e-10,-8.396937546734437e-11,-8.813380819435393e-11,-8.757222977568982e-11,-8.735780346730867e-11,-8.73367023245681e-11,-8.733473289945869e-11,-8.73659273596254e-11,-8.7873734044151e-11,-8.466278961495162e-11,-8.265610302860073e-11,-1.311768471623509e-10,-1.3015721833653515e-10,-1.298445795328007e-10,-1.3536727294649609e-10,-7.968345905856814e-11,-8.79625920373439e-11,-8.735227401921125e-11,-8.733562467707049e-11,-8.73346539987287e-11,-8.754054706456915e-11,-7.723244273278384e-11,-8.393479532859585e-11,-8.436138276906977e-11,-8.062797671170684e-11,-8.225827079167626e-11,-8.822496657539568e-11,-8.798171962447284e-11,-8.787846013209185e-11,-8.798696736239032e-11,-8.827110877321928e-11,-8.680211955680603e-11,-7.933381767809569e-11,-1.3064038739685202e-10,8.456879641016712e-11,8.36593017083942e-11,-1.3420731193036772e-10,-8.506690630972451e-11,-8.723508591916969e-11,-8.772506181382573e-11,-8.734040422384887e-11,-8.733102931767889e-11,-8.729885204336393e-11,-8.731109838233946e-11,-8.739194685920602e-11,-7.843611674501751e-11,-8.723984506371251e-11,-1.3733192361087276e-10,-1.4221515690380036e-10,-7.798927437055379e-11,-8.818509236480763e-11,-8.818683004969748e-11,-8.828081399871457e-11,-8.749938980291992e-11,-7.83288943492018e-11,-1.3130119214110891e-10,8.401457307627425e-11,8.418510333285667e-11,8.274980700662127e-11,8.427036846114788e-11,8.454037470073672e-11,8.401457307627425e-11,-1.354862888547359e-10,-8.393404936435951e-11,-8.371084386121505e-11,-8.824283828898498e-11,-8.824319006247135e-11,-8.770767929459652e-11,-1.2673861959910937e-10,8.385825367440702e-11,8.36877234178246e-11,-1.183906306323479e-10,-1.3318768310455198e-10,-8.78166335094832e-11,-8.736902125544202e-11
23920,-1.3953713455210292e-11,-1.5368708025481992e-11,-1.5537677851476305e-11,-1.666897006849364e-11,-1.5413033890905955e-11,-1.5365121761713676e-11,-1.540797966911278e-11,-1.548590739468848e-11,-1.5713786455498812e-11,-1.6192274490641323e-11,-1.5703877032940084e-11,-1.5468012758365084e-11,-1.581803965227937e-11,-1.5707668882928125e-11,-1.585633740144691e-11,-1.5995729650988744e-11,-1.577158381583659e-11,-3.197130894153816e-11,-7.392486622848082e-11,-7.391065537376562e-11,-7.380762667708041e-11,-7.401546042729024e-11,-3.2987842707022414e-11,-1.575052094245501e-11,-1.6126936815839374e-11,-1.6196173395108946e-11,-1.6195949621237708e-11,-1.607065232402844e-11,-1.5805242348866995e-11,-3.039957983597394e-11,-7.390354994640802e-11,-7.382539024547441e-11,-7.37401251171832e-11,-7.371170340775279e-11,-7.3725914262468e-11,-7.383960110018961e-11,-7.391065537376562e-11,-7.391065537376562e-11,-7.380762667708041e-11,-7.386091738226241e-11,-7.386802280962002e-11,-7.385381195490481e-11,-7.342748631344875e-11,-7.347011887759436e-11,-7.342748631344875e-11,-7.364064913417678e-11,-7.394618251055363e-11,-7.385025924122601e-11,-7.408385016560715e-11,-3.7332800753101105e-11,-3.549288338360281e-11,-7.403500035252364e-11,-7.393197165583842e-11,-7.388223366433522e-11,-7.325695605686633e-11,-7.244693733809981e-11,-7.322853434743593e-11,-7.369749255303759e-11,-7.386091738226241e-11,-7.388223366433522e-11,-7.406075752669494e-11,-3.243842237087847e-11,-3.10767607083698e-11,-1.6221505324949793e-11,-3.268079332536214e-11,-7.383782474335021e-11,-7.391065537376562e-11,-7.390354994640802e-11,-7.392486622848082e-11,-7.386447009594121e-11,-3.304310483594134e-11,-1.581469042171607e-11,-1.6156903585564705e-11,-1.598272288253038e-11,-1.5950784143989627e-11,-1.6015010934657558e-11,-1.6183762237408086e-11,-1.569642164398569e-11,-7.394174161845513e-11,-7.388933909169282e-11,-7.392486622848082e-11,-7.394618251055363e-11,-7.386091738226241e-11,-7.383960110018961e-11,-3.931964045513305e-11,-3.277412910680087e-11,-1.622501343743372e-11,-1.5775246903883828e-11,-1.5392737069359024e-11,-3.382346163399676e-11,-7.37685468266136e-11,-7.383071931599261e-11,-6.833578147791286e-11,-3.237726366080954e-11,-1.5567842347591047e-11,-1.6162456655942708e-11,-1.5923358063926684e-11,-1.566523068748113e-11,-1.5576224482097722e-11,-1.5555317584755637e-11,-1.5685653923312698e-11,-1.608225142842517e-11,-1.5877745230082816e-11,-1.5409138181213877e-11,-3.2836201353781016e-11,-3.254671705435167e-11,-3.238607517690785e-11,-3.129599973522591e-11,-1.5699258885340508e-11,-1.6111519397521545e-11,-1.5645192930582224e-11,-1.547655139671956e-11,-1.545600921710858e-11,-1.58962384014217e-11,-1.5705947242790008e-11,-1.5578313423767133e-11,-1.545347726886232e-11,-1.576199166390222e-11,-1.5769640723252193e-11,-1.617562451318293e-11,-1.6119370156451522e-11,-1.608250890582561e-11,-1.612108922411294e-11,-1.618951055658932e-11,-1.6021585150771322e-11,-1.5791042110843306e-11,-3.309167058059089e-11,-7.421396830409321e-11,-7.389111544853222e-11,-3.382462052734415e-11,-1.623818983488812e-11,-1.6059067710965124e-11,-1.6012670005782062e-11,-1.5595523686481643e-11,-1.543029047636147e-11,-1.5392064522405225e-11,-1.5400336338539728e-11,-1.573575114917896e-11,-1.5691171652479977e-11,-1.6349687080161062e-11,-3.1009017120134794e-11,-1.8873523877707893e-11,-1.5692213943597473e-11,-1.616717780862818e-11,-1.617353385433531e-11,-1.6190591961554248e-11,-1.6084725199600813e-11,-1.5694005565619416e-11,-3.281438848468173e-11,-7.392486622848082e-11,-7.342748631344875e-11,-7.287326297955588e-11,-7.354117315117037e-11,-7.382539024547441e-11,-7.391776080112322e-11,-3.371368143555658e-11,-1.6152751508416723e-11,-1.5837163333011936e-11,-1.6174723180936004e-11,-1.6183301510091e-11,-1.6105696121003137e-11,-3.3559550631336294e-11,-7.401546042729024e-11,-7.394351797529453e-11,-3.6643852259417265e-11,-3.1817882914195365e-11,-1.6117962698707975e-11,-1.569249308392506e-11
